origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Inglaterra,Premier League,2024/2025,RODADA 37,20/05/2025,16:00,Crystal Palace,Wolverhampton,Crystal_Palace_vs_Wolverhampton_20/05/2025,Partida Encerrada,,4.0,2.0,Crystal Palace x Wolverhampton,20/05/2025 16:00:00,20/05/2025,14,12,10,3,2,2,0,10,1,2,2,0,14,8,,
Brasil,Brasileirão B,2025,RODADA 16,12/07/2025,17:00,Cuiabá,Amazonas,Cuiaba_vs_Amazonas_12/07/2025,Partida não Iniciada,,,,Cuiabá x Amazonas,12/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 18,23/07/2025,17:00,Cuiabá,América-MG,Cuiaba_vs_America-MG_23/07/2025,Partida não Iniciada,,,,Cuiabá x América-MG,23/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 3,15/04/2025,19:00,Cuiabá,Athletico-PR,Cuiaba_vs_Athletico-PR_15/04/2025,Partida Encerrada,,2.0,1.0,Cuiabá x Athletico-PR,15/04/2025 19:00:00,15/04/2025,13,7,3,4,2,1,9,8,3,2,3,2,11,17,1,0
Brasil,Brasileirão B,2025,RODADA 2,10/04/2025,21:30,Cuiabá,Avaí,Cuiaba_vs_Avai_10/04/2025,Partida Encerrada,,2.0,2.0,Cuiabá x Avaí,10/04/2025 21:30:00,10/04/2025,17,9,4,2,2,1,7,5,1,1,1,3,16,18,,
Brasil,Brasileirão B,2025,RODADA 14,30/06/2025,21:00,Cuiabá,Botafogo-SP,Cuiaba_vs_Botafogo-SP_30/06/2025,Partida não Iniciada,,,,Cuiabá x Botafogo-SP,30/06/2025 21:00:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 7,11/05/2025,18:30,Cuiabá,Operário,Cuiaba_vs_Operario_11/05/2025,Partida Encerrada,,2.0,3.0,Cuiabá x Operário,11/05/2025 18:30:00,11/05/2025,14,8,7,4,1,2,6,3,2,4,4,1,9,17,,
Brasil,Brasileirão B,2025,RODADA 11,06/06/2025,21:35,Cuiabá,Paysandu,Cuiaba_vs_Paysandu_06/06/2025,Partida não Iniciada,,,,Cuiabá x Paysandu,06/06/2025 21:35:00,,,,,,,,,,,,,,,,,
Brasil,Brasileirão B,2025,RODADA 9,26/05/2025,21:00,Cuiabá,Vila Nova,Cuiaba_vs_Vila_Nova_26/05/2025,Partida Encerrada,,1.0,0.0,Cuiabá x Vila Nova,26/05/2025 21:00:00,26/05/2025,13,8,6,2,0,0,4,1,5,2,2,3,17,11,0,1
Brasil,Brasileirão B,2025,RODADA 20,02/08/2025,17:00,Cuiabá,Volta Redonda,Cuiaba_vs_Volta_Redonda_02/08/2025,Partida não Iniciada,,,,Cuiabá x Volta Redonda,02/08/2025 17:00:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 11,05/05/2025,04:30,Dalian Yingbo,Beijing Guoan,Dalian_Yingbo_vs_Beijing_Guoan_05/05/2025,Partida Encerrada,,0.0,2.0,Dalian Yingbo x Beijing Guoan,05/05/2025 04:30:00,05/05/2025,8,11,1,6,1,4,7,1,1,1,2,0,23,11,,
China,Superliga,2025,RODADA 3,29/03/2025,04:30,Dalian Yingbo,Changchun Yatai,Dalian_Yingbo_vs_Changchun_Yatai_29/03/2025,Partida Encerrada,,2.0,0.0,Dalian Yingbo x Changchun Yatai,29/03/2025 04:30:00,29/03/2025,18,5,6,1,3,0,9,2,0,1,3,1,13,6,,
China,Superliga,2025,RODADA 20,08/08/2025,08:35,Dalian Yingbo,Chengdu Rongcheng,Dalian_Yingbo_vs_Chengdu_Rongcheng_08/08/2025,Partida não Iniciada,,,,Dalian Yingbo x Chengdu Rongcheng,08/08/2025 08:35:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 7,16/04/2025,08:00,Dalian Yingbo,Henan Songshan Longmen,Dalian_Yingbo_vs_Henan_Songshan_Longmen_16/04/2025,Partida Encerrada,,1.0,0.0,Dalian Yingbo x Henan Songshan Longmen,16/04/2025 08:00:00,16/04/2025,9,10,3,4,2,2,4,6,1,2,4,2,12,15,,
China,Superliga,2025,RODADA 14,13/06/2025,08:35,Dalian Yingbo,Meizhou Hakka,Dalian_Yingbo_vs_Meizhou_Hakka_13/06/2025,Partida não Iniciada,,,,Dalian Yingbo x Meizhou Hakka,13/06/2025 08:35:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 19,03/08/2025,08:00,Dalian Yingbo,Qingdao Hainiu,Dalian_Yingbo_vs_Qingdao_Hainiu_03/08/2025,Partida não Iniciada,,,,Dalian Yingbo x Qingdao Hainiu,03/08/2025 08:00:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 23,30/08/2025,08:35,Dalian Yingbo,Qingdao West Coast,Dalian_Yingbo_vs_Qingdao_West_Coast_30/08/2025,Partida não Iniciada,,,,Dalian Yingbo x Qingdao West Coast,30/08/2025 08:35:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 17,19/07/2025,08:00,Dalian Yingbo,Shandong Taishan,Dalian_Yingbo_vs_Shandong_Taishan_19/07/2025,Partida não Iniciada,,,,Dalian Yingbo x Shandong Taishan,19/07/2025 08:00:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 13,17/05/2025,07:00,Dalian Yingbo,Shanghai Shenhua,Dalian_Yingbo_vs_Shanghai_Shenhua_17/05/2025,Partida Encerrada,,0.0,3.0,Dalian Yingbo x Shanghai Shenhua,17/05/2025 07:00:00,17/05/2025,14,17,3,9,1,3,5,7,,,3,3,12,9,,
China,Superliga,2025,RODADA 24,14/09/2025,08:00,Dalian Yingbo,Shenzhen Xinpengcheng,Dalian_Yingbo_vs_Shenzhen_Xinpengcheng_14/09/2025,Partida não Iniciada,,,,Dalian Yingbo x Shenzhen Xinpengcheng,14/09/2025 08:00:00,,,,,,,,,,,,,,,,,
China,Superliga,2025,RODADA 6,12/04/2025,04:30,Dalian Yingbo,Tianjin Jinmen Tiger,Dalian_Yingbo_vs_Tianjin_Jinmen_Tiger_12/04/2025,Partida Encerrada,,1.0,1.0,Dalian Yingbo x Tianjin Jinmen Tiger,12/04/2025 04:30:00,12/04/2025,18,5,7,4,2,0,9,0,2,3,1,1,13,12,,
China,Superliga,2025,RODADA 10,01/05/2025,04:30,Dalian Yingbo,Yunnan Yukun,Dalian_Yingbo_vs_Yunnan_Yukun_01/05/2025,Partida Encerrada,,3.0,2.0,Dalian Yingbo x Yunnan Yukun,01/05/2025 04:30:00,01/05/2025,14,14,4,6,4,2,4,8,3,2,5,1,14,11,,
China,Superliga,2025,RODADA 16,30/06/2025,08:35,Dalian Yingbo,Zhejiang Professional,Dalian_Yingbo_vs_Zhejiang_Professional_30/06/2025,Partida não Iniciada,,,,Dalian Yingbo x Zhejiang Professional,30/06/2025 08:35:00,,,,,,,,,,,,,,,,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 21,21/02/2025,11:20,Damac,Al-Ahli,Damac_vs_Al-Ahli_21/02/2025,Partida Encerrada,,0.0,2.0,Damac x Al-Ahli,21/02/2025 11:20:00,21/02/2025,15,7,4,4,0,2,6,2,2,7,3,2,12,17,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 33,22/05/2025,13:15,Damac,Al-Fateh,Damac_vs_Al-Fateh_22/05/2025,Partida Encerrada,,0.0,1.0,Damac x Al-Fateh,22/05/2025 13:15:00,22/05/2025,13,13,4,6,1,5,5,4,4,1,0,1,12,10,1,0
Arábia saudita,Liga Saudita,2024/2025,RODADA 19,08/02/2025,14:00,Damac,Al-Hilal,Damac_vs_Al-Hilal_08/02/2025,Partida Encerrada,,2.0,2.0,Damac x Al-Hilal,08/02/2025 14:00:00,08/02/2025,9,22,3,10,5,6,2,13,4,4,4,3,9,7,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 17,27/01/2025,11:05,Damac,Al-Ittihad,Damac_vs_Al-Ittihad_27/01/2025,Partida Encerrada,,2.0,1.0,Damac x Al-Ittihad,27/01/2025 11:05:00,27/01/2025,10,17,6,3,1,1,2,18,5,2,1,0,12,7,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 22,24/02/2025,12:50,Damac,Al-Orubah,Damac_vs_Al-Orubah_24/02/2025,Partida Encerrada,,1.0,2.0,Damac x Al-Orubah,24/02/2025 12:50:00,24/02/2025,15,10,3,5,1,3,3,3,1,3,2,0,10,7,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 25,14/03/2025,16:00,Damac,Al-Qadisiya,Damac_vs_Al-Qadisiya_14/03/2025,Partida Encerrada,,1.0,0.0,Damac x Al-Qadisiya,14/03/2025 16:00:00,14/03/2025,6,14,1,4,1,1,0,8,2,4,6,0,7,19,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 31,11/05/2025,13:10,Damac,Al-Raed,Damac_vs_Al-Raed_11/05/2025,Partida Encerrada,,1.0,0.0,Damac x Al-Raed,11/05/2025 13:10:00,11/05/2025,12,12,3,2,1,0,3,4,4,4,1,0,12,12,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 29,22/04/2025,13:05,Damac,Al Nassr Riyadh,Damac_vs_Al_Nassr_Riyadh_22/04/2025,Partida Encerrada,,2.0,3.0,Damac x Al Nassr Riyadh,22/04/2025 13:05:00,22/04/2025,13,12,4,4,1,2,5,8,3,4,1,2,10,14,,
Arábia saudita,Liga Saudita,2024/2025,RODADA 27,10/04/2025,13:00,Damac,Al Wehda,Damac_vs_Al_Wehda_10/04/2025,Partida Encerrada,,0.0,1.0,Damac x Al Wehda,10/04/2025 13:00:00,10/04/2025,8,14,1,4,1,0,0,0,3,2,0,0,9,15,1,0
Alemanha,2. Bundesliga,2024/2025,RODADA 21,08/02/2025,09:00,Darmstadt,Elversberg,Darmstadt_vs_Elversberg_08/02/2025,Partida Encerrada,,0.0,3.0,Darmstadt x Elversberg,08/02/2025 09:00:00,08/02/2025,13,12,2,4,0,2,2,5,2,3,2,0,13,14,1,0
Alemanha,2. Bundesliga,2024/2025,RODADA 28,05/04/2025,08:00,Darmstadt,Furth,Darmstadt_vs_Furth_05/04/2025,Partida Encerrada,,1.0,0.0,Darmstadt x Furth,05/04/2025 08:00:00,05/04/2025,14,5,4,1,3,0,6,3,0,1,3,1,9,14,,
Alemanha,2. Bundesliga,2024/2025,RODADA 32,03/05/2025,08:00,Darmstadt,Hamburger SV,Darmstadt_vs_Hamburger_SV_03/05/2025,Partida Encerrada,,0.0,4.0,Darmstadt x Hamburger SV,03/05/2025 08:00:00,03/05/2025,21,10,2,6,2,3,4,5,3,3,1,2,9,21,,
Alemanha,2. Bundesliga,2024/2025,RODADA 30,20/04/2025,08:30,Darmstadt,Hannover,Darmstadt_vs_Hannover_20/04/2025,Partida Encerrada,,3.0,1.0,Darmstadt x Hannover,20/04/2025 08:30:00,20/04/2025,12,13,7,5,6,1,4,8,2,4,3,1,14,15,,
Alemanha,2. Bundesliga,2024/2025,RODADA 25,07/03/2025,14:30,Darmstadt,Karlsruher,Darmstadt_vs_Karlsruher_07/03/2025,Partida Encerrada,,3.0,0.0,Darmstadt x Karlsruher,07/03/2025 14:30:00,07/03/2025,24,7,12,2,4,3,2,3,0,2,1,2,6,10,,
Alemanha,2. Bundesliga,2024/2025,RODADA 19,26/01/2025,09:30,Darmstadt,Paderborn,Darmstadt_vs_Paderborn_26/01/2025,Partida Encerrada,,0.0,1.0,Darmstadt x Paderborn,26/01/2025 09:30:00,26/01/2025,13,11,5,4,0,1,3,11,2,6,2,1,11,17,,
Alemanha,2. Bundesliga,2024/2025,RODADA 34,18/05/2025,10:30,Darmstadt,Regensburg,Darmstadt_vs_Regensburg_18/05/2025,Partida Encerrada,,3.0,1.0,Darmstadt x Regensburg,18/05/2025 10:30:00,18/05/2025,15,17,5,4,3,0,6,7,2,0,0,1,13,10,,
Alemanha,2. Bundesliga,2024/2025,RODADA 23,23/02/2025,09:30,Darmstadt,Schalke,Darmstadt_vs_Schalke_23/02/2025,Partida Encerrada,,2.0,0.0,Darmstadt x Schalke,23/02/2025 09:30:00,23/02/2025,12,5,3,2,0,0,3,11,4,5,1,1,13,15,0,1
América do sul,Sul-Americana,2025,RODADA 6,28/05/2025,21:30,Defensa y Justicia (Arg),Cerro Largo (Uru),Defensa_y_Justicia_Arg_vs_Cerro_Largo_Uru_28/05/2025,Partida não Iniciada,ProximaRodada,,,Defensa y Justicia (Arg) x Cerro Largo (Uru),28/05/2025 21:30:00,,,,,,,,,,,,,,,,,
América do sul,Sul-Americana,2025,RODADA 5,14/05/2025,19:00,Defensa y Justicia (Arg),Universidad Católica (Ecu),Defensa_y_Justicia_Arg_vs_Universidad_Catolica_Ecu_14/05/2025,Partida Encerrada,,1.0,1.0,Defensa y Justicia (Arg) x Universidad Católica (Ecu),14/05/2025 19:00:00,14/05/2025,21,8,5,2,6,3,10,2,1,2,5,1,5,8,,
Argentina,Torneo Betano,2025,RODADA 2,20/07/2025,17:00,Defensa y Justicia,Aldosivi,Defensa_y_Justicia_vs_Aldosivi_20/07/2025,Partida não Iniciada,,,,Defensa y Justicia x Aldosivi,20/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 7,31/08/2025,17:00,Defensa y Justicia,Belgrano,Defensa_y_Justicia_vs_Belgrano_31/08/2025,Partida não Iniciada,,,,Defensa y Justicia x Belgrano,31/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 4,10/08/2025,17:00,Defensa y Justicia,Dep. Riestra,Defensa_y_Justicia_vs_Dep_Riestra_10/08/2025,Partida não Iniciada,,,,Defensa y Justicia x Dep. Riestra,10/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 5,17/08/2025,17:00,Defensa y Justicia,Newell's Old Boys,Defensa_y_Justicia_vs_Newells_Old_Boys_17/08/2025,Partida não Iniciada,,,,Defensa y Justicia x Newell's Old Boys,17/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 8,14/09/2025,17:00,Defensa y Justicia,Platense,Defensa_y_Justicia_vs_Platense_14/09/2025,Partida não Iniciada,,,,Defensa y Justicia x Platense,14/09/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 15,28/04/2025,19:30,Defensa y Justicia,Racing Club,Defensa_y_Justicia_vs_Racing_Club_28/04/2025,Partida Encerrada,,1.0,2.0,Defensa y Justicia x Racing Club,28/04/2025 19:30:00,28/04/2025,17,10,6,3,0,0,5,3,,,2,3,12,15,,
América do sul,Libertadores,2025,QUARTAS DE FINAL,11/02/2025,21:30,Defensor Sp. (Uru),Monagas (Ven),Defensor_Sp_Uru_vs_Monagas_Ven_11/02/2025,Partida Encerrada,,0.0,2.0,Defensor Sp. (Uru) x Monagas (Ven),11/02/2025 21:30:00,11/02/2025,18,8,6,2,2,1,5,2,4,2,2,2,12,14,,
Suécia,Allsvenskan,2025,RODADA 21,24/08/2025,11:30,Degerfors,AIK Stockholm,Degerfors_vs_AIK_Stockholm_24/08/2025,Partida não Iniciada,,,,Degerfors x AIK Stockholm,24/08/2025 11:30:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 13,29/06/2025,09:00,Degerfors,Brommapojkarna,Degerfors_vs_Brommapojkarna_29/06/2025,Partida não Iniciada,,,,Degerfors x Brommapojkarna,29/06/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 4,19/04/2025,10:00,Degerfors,Elfsborg,Degerfors_vs_Elfsborg_19/04/2025,Partida Encerrada,,0.0,1.0,Degerfors x Elfsborg,19/04/2025 10:00:00,19/04/2025,16,14,4,5,2,4,5,5,3,2,1,0,13,17,,
Suécia,Allsvenskan,2025,RODADA 16,19/07/2025,12:30,Degerfors,GAIS,Degerfors_vs_GAIS_19/07/2025,Partida não Iniciada,,,,Degerfors x GAIS,19/07/2025 12:30:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 10,19/05/2025,14:00,Degerfors,Göteborg,Degerfors_vs_Goteborg_19/05/2025,Partida Encerrada,,1.0,3.0,Degerfors x Göteborg,19/05/2025 14:00:00,19/05/2025,12,13,2,6,1,4,5,7,3,1,5,1,14,15,,
Suécia,Allsvenskan,2025,RODADA 19,10/08/2025,09:00,Degerfors,Hacken,Degerfors_vs_Hacken_10/08/2025,Partida não Iniciada,,,,Degerfors x Hacken,10/08/2025 09:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 8,11/05/2025,11:30,Degerfors,Malmö FF,Degerfors_vs_Malmo_FF_11/05/2025,Partida Encerrada,,1.0,4.0,Degerfors x Malmö FF,11/05/2025 11:30:00,11/05/2025,16,21,4,10,4,5,4,13,3,2,1,0,10,7,,
Suécia,Allsvenskan,2025,RODADA 23,13/09/2025,10:00,Degerfors,Mjallby,Degerfors_vs_Mjallby_13/09/2025,Partida não Iniciada,,,,Degerfors x Mjallby,13/09/2025 10:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 17,26/07/2025,12:30,Degerfors,Norrkoping,Degerfors_vs_Norrkoping_26/07/2025,Partida não Iniciada,,,,Degerfors x Norrkoping,26/07/2025 12:30:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 12,31/05/2025,10:00,Degerfors,Öster,Degerfors_vs_Oster_31/05/2025,Partida não Iniciada,,,,Degerfors x Öster,31/05/2025 10:00:00,,,,,,,,,,,,,,,,,
Suécia,Allsvenskan,2025,RODADA 7,03/05/2025,10:00,Degerfors,Sirius,Degerfors_vs_Sirius_03/05/2025,Partida Encerrada,,1.0,1.0,Degerfors x Sirius,03/05/2025 10:00:00,03/05/2025,19,14,3,2,4,1,5,9,1,3,2,1,13,10,,
Suécia,Allsvenskan,2025,RODADA 2,06/04/2025,11:30,Degerfors,Värnamo,Degerfors_vs_Varnamo_06/04/2025,Partida Encerrada,,1.0,0.0,Degerfors x Värnamo,06/04/2025 11:30:00,06/04/2025,6,16,3,5,0,1,2,9,2,3,1,2,16,18,0,1
Equador,Liga Pro,2025,RODADA 21,20/07/2025,17:00,Delfin,Barcelona,Delfin_vs_Barcelona_20/07/2025,Partida não Iniciada,,,,Delfin x Barcelona,20/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 25,17/08/2025,17:00,Delfin,El Nacional,Delfin_vs_El_Nacional_17/08/2025,Partida não Iniciada,,,,Delfin x El Nacional,17/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 15,31/05/2025,18:30,Delfin,Ind. del Valle,Delfin_vs_Ind_del_Valle_31/05/2025,Partida não Iniciada,,,,Delfin x Ind. del Valle,31/05/2025 18:30:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 19,06/07/2025,17:00,Delfin,LDU Quito,Delfin_vs_LDU_Quito_06/07/2025,Partida não Iniciada,,,,Delfin x LDU Quito,06/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 27,31/08/2025,17:00,Delfin,Libertad,Delfin_vs_Libertad_31/08/2025,Partida não Iniciada,,,,Delfin x Libertad,31/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 9,20/04/2025,20:00,Delfin,Macara,Delfin_vs_Macara_20/04/2025,Partida Encerrada,,0.0,0.0,Delfin x Macara,20/04/2025 20:00:00,20/04/2025,16,11,5,4,6,2,3,8,1,2,2,3,16,14,,
Equador,Liga Pro,2025,RODADA 18,29/06/2025,17:00,Delfin,Manta,Delfin_vs_Manta_29/06/2025,Partida não Iniciada,,,,Delfin x Manta,29/06/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 16,15/06/2025,17:00,Delfin,Mushuc Runa,Delfin_vs_Mushuc_Runa_15/06/2025,Partida não Iniciada,,,,Delfin x Mushuc Runa,15/06/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 11,04/05/2025,15:00,Delfin,Orense,Delfin_vs_Orense_04/05/2025,Partida Encerrada,,0.0,0.0,Delfin x Orense,04/05/2025 15:00:00,04/05/2025,5,5,3,2,0,0,3,2,,,0,0,15,11,,
Equador,Liga Pro,2025,RODADA 13,18/05/2025,17:30,Delfin,Universidad Católica,Delfin_vs_Universidad_Catolica_18/05/2025,Partida Encerrada,,1.0,0.0,Delfin x Universidad Católica,18/05/2025 17:30:00,18/05/2025,16,11,4,2,1,0,6,6,1,4,3,0,11,10,0,1
Equador,Liga Pro,2025,RODADA 23,03/08/2025,17:00,Delfin,Vinotinto,Delfin_vs_Vinotinto_03/08/2025,Partida não Iniciada,,,,Delfin x Vinotinto,03/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Países baixos,Eredivisie,2024/2025,QUARTAS DE FINAL,12/05/2025,15:00,Den Bosch,Cambuur,Den_Bosch_vs_Cambuur_12/05/2025,Partida Encerrada,,1.0,0.0,Den Bosch x Cambuur,12/05/2025 15:00:00,12/05/2025,11,14,5,4,2,1,3,8,3,5,0,2,12,18,,
Países baixos,Eredivisie,2024/2025,SEMIFINAIS,20/05/2025,15:00,Den Bosch,Telstar,Den_Bosch_vs_Telstar_20/05/2025,Partida Encerrada,,0.0,0.0,Den Bosch x Telstar,20/05/2025 15:00:00,20/05/2025,12,11,2,3,2,1,4,7,0,1,0,0,10,11,,
Países baixos,Eredivisie,2024/2025,QUARTAS DE FINAL,17/05/2025,11:30,Den Haag,Telstar,Den_Haag_vs_Telstar_17/05/2025,Partida Encerrada,,0.0,1.0,Den Haag x Telstar,17/05/2025 11:30:00,17/05/2025,14,7,4,2,2,2,5,2,1,4,1,3,11,16,,
Equador,Liga Pro,2025,RODADA 20,13/07/2025,17:00,Dep. Cuenca,Delfin,Dep_Cuenca_vs_Delfin_13/07/2025,Partida não Iniciada,,,,Dep. Cuenca x Delfin,13/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 16,15/06/2025,17:00,Dep. Cuenca,El Nacional,Dep_Cuenca_vs_El_Nacional_15/06/2025,Partida não Iniciada,,,,Dep. Cuenca x El Nacional,15/06/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 9,19/04/2025,18:30,Dep. Cuenca,Emelec,Dep_Cuenca_vs_Emelec_19/04/2025,Partida Encerrada,,0.0,1.0,Dep. Cuenca x Emelec,19/04/2025 18:30:00,19/04/2025,17,7,7,3,0,2,9,3,1,4,1,0,14,16,0,2
Equador,Liga Pro,2025,RODADA 22,27/07/2025,17:00,Dep. Cuenca,Ind. del Valle,Dep_Cuenca_vs_Ind_del_Valle_27/07/2025,Partida não Iniciada,,,,Dep. Cuenca x Ind. del Valle,27/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 23,03/08/2025,17:00,Dep. Cuenca,Macara,Dep_Cuenca_vs_Macara_03/08/2025,Partida não Iniciada,,,,Dep. Cuenca x Macara,03/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 11,02/05/2025,21:00,Dep. Cuenca,Manta,Dep_Cuenca_vs_Manta_02/05/2025,Partida Encerrada,,2.0,0.0,Dep. Cuenca x Manta,02/05/2025 21:00:00,02/05/2025,17,7,7,2,0,0,4,1,2,7,4,0,11,14,0,1
Equador,Liga Pro,2025,RODADA 18,29/06/2025,17:00,Dep. Cuenca,Mushuc Runa,Dep_Cuenca_vs_Mushuc_Runa_29/06/2025,Partida não Iniciada,,,,Dep. Cuenca x Mushuc Runa,29/06/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 27,31/08/2025,17:00,Dep. Cuenca,Orense,Dep_Cuenca_vs_Orense_31/08/2025,Partida não Iniciada,,,,Dep. Cuenca x Orense,31/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 13,16/05/2025,21:00,Dep. Cuenca,Técnico U.,Dep_Cuenca_vs_Tecnico_U_16/05/2025,Partida Encerrada,,2.0,0.0,Dep. Cuenca x Técnico U.,16/05/2025 21:00:00,16/05/2025,8,8,5,0,2,1,4,4,0,4,2,0,19,13,0,1
Equador,Liga Pro,2025,RODADA 15,01/06/2025,17:30,Dep. Cuenca,Universidad Católica,Dep_Cuenca_vs_Universidad_Catolica_01/06/2025,Partida não Iniciada,,,,Dep. Cuenca x Universidad Católica,01/06/2025 17:30:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 25,17/08/2025,17:00,Dep. Cuenca,Vinotinto,Dep_Cuenca_vs_Vinotinto_17/08/2025,Partida não Iniciada,,,,Dep. Cuenca x Vinotinto,17/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 3,27/07/2025,17:00,Dep. Riestra,Atl. Tucuman,Dep_Riestra_vs_Atl_Tucuman_27/07/2025,Partida não Iniciada,,,,Dep. Riestra x Atl. Tucuman,27/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 8,14/09/2025,17:00,Dep. Riestra,Central Córdoba,Dep_Riestra_vs_Central_Cordoba_14/09/2025,Partida não Iniciada,,,,Dep. Riestra x Central Córdoba,14/09/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 16,03/05/2025,16:00,Dep. Riestra,Godoy Cruz,Dep_Riestra_vs_Godoy_Cruz_03/05/2025,Partida Encerrada,,3.0,0.0,Dep. Riestra x Godoy Cruz,03/05/2025 16:00:00,03/05/2025,12,21,7,5,6,2,0,3,,,1,4,10,9,,
Argentina,Torneo Betano,2025,RODADA 1,13/07/2025,17:00,Dep. Riestra,Lanús,Dep_Riestra_vs_Lanus_13/07/2025,Partida não Iniciada,,,,Dep. Riestra x Lanús,13/07/2025 17:00:00,,,,,,,,,,,,,,,,,
Argentina,Torneo Betano,2025,RODADA 14,20/04/2025,15:30,Dep. Riestra,San Lorenzo,Dep_Riestra_vs_San_Lorenzo_20/04/2025,Partida Encerrada,,0.0,0.0,Dep. Riestra x San Lorenzo,20/04/2025 15:30:00,20/04/2025,6,11,1,4,0,0,2,6,2,3,1,2,15,6,,
Argentina,Torneo Betano,2025,RODADA 6,24/08/2025,17:00,Dep. Riestra,Sarmiento Junin,Dep_Riestra_vs_Sarmiento_Junin_24/08/2025,Partida não Iniciada,,,,Dep. Riestra x Sarmiento Junin,24/08/2025 17:00:00,,,,,,,,,,,,,,,,,
América do sul,Libertadores,2025,RODADA 5,13/05/2025,19:00,Dep. Tachira (Ven),Central Córdoba (Arg),Dep_Tachira_Ven_vs_Central_Cordoba_Arg_13/05/2025,Partida Encerrada,,1.0,2.0,Dep. Tachira (Ven) x Central Córdoba (Arg),13/05/2025 19:00:00,13/05/2025,9,13,2,8,1,3,4,6,2,3,3,0,9,7,2,0
