origem,Campeonato,Temporada,Rodada,Data,Hora,time_casa,time_visitante,id,StatusPartida,RodadaMarcada,placar_casa,placar_visitante,Times_Partidas,DataHora,date,Total de finalizações__home_team,Total de finalizações__away_team,Finalizações no alvo__home_team,Finalizações no alvo__away_team,Chances claras__home_team,Chances claras__away_team,Escanteios__home_team,Escanteios__away_team,Cartões amarelos__home_team,Cartões amarelos__away_team,Impedimentos__home_team,Impedimentos__away_team,Faltas__home_team,Faltas__away_team,Cartões vermelhos__home_team,Cartões vermelhos__away_team
Equador,Liga Pro,2025,RODADA 26,24/08/2025,17:00,Universidad Católica,Técnico U.,Universidad_Catolica_vs_Tecnico_U_24/08/2025,Partida não Iniciada,,,,Universidad Católica x Técnico U.,24/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 21,24/08/2025,17:00,Universidad Católica,Unión Española,Universidad_Catolica_vs_Union_Espanola_24/08/2025,Partida não Iniciada,,,,Universidad Católica x Unión Española,24/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 25,26/10/2025,18:00,Universidad Católica,Universidad de Chile,Universidad_Catolica_vs_Universidad_de_Chile_26/10/2025,Partida não Iniciada,,,,Universidad Católica x Universidad de Chile,26/10/2025 18:00:00,,,,,,,,,,,,,,,,,
Equador,Liga Pro,2025,RODADA 21,20/07/2025,17:00,Universidad Católica,Vinotinto,Universidad_Catolica_vs_Vinotinto_20/07/2025,Partida não Iniciada,,,,Universidad Católica x Vinotinto,20/07/2025 17:00:00,,,,,,,,,,,,,,,,,
América do sul,Libertadores,2025,SEMIFINAIS,19/02/2025,21:30,Universidad Central (Ven),Corinthians (Bra),Universidad_Central_Ven_vs_Corinthians_Bra_19/02/2025,Partida Encerrada,,1.0,1.0,Universidad Central (Ven) x Corinthians (Bra),19/02/2025 21:30:00,19/02/2025,13,12,6,3,1,1,4,5,,,0,3,11,5,,
América do sul,Libertadores,2025,RODADA 1,02/04/2025,21:30,Universidad de Chile (Chi),Botafogo (Bra),Universidad_de_Chile_Chi_vs_Botafogo_Bra_02/04/2025,Partida Encerrada,,1.0,0.0,Universidad de Chile (Chi) x Botafogo (Bra),02/04/2025 21:30:00,02/04/2025,6,7,2,6,1,0,2,2,4,5,6,0,12,12,0,1
América do sul,Libertadores,2025,RODADA 5,13/05/2025,21:30,Universidad de Chile (Chi),Carabobo (Ven),Universidad_de_Chile_Chi_vs_Carabobo_Ven_13/05/2025,Partida Encerrada,,4.0,0.0,Universidad de Chile (Chi) x Carabobo (Ven),13/05/2025 21:30:00,13/05/2025,23,6,9,0,3,0,8,0,1,3,0,0,7,14,,
América do sul,Libertadores,2025,RODADA 4,07/05/2025,21:00,Universidad de Chile (Chi),Estudiantes (Arg),Universidad_de_Chile_Chi_vs_Estudiantes_Arg_07/05/2025,Partida Encerrada,,0.0,3.0,Universidad de Chile (Chi) x Estudiantes (Arg),07/05/2025 21:00:00,07/05/2025,13,11,5,9,0,2,7,3,2,5,0,1,16,15,,
Chile,Liga de Primera,2025,RODADA 18,03/08/2025,17:00,Universidad de Chile,Cobresal,Universidad_de_Chile_vs_Cobresal_03/08/2025,Partida não Iniciada,,,,Universidad de Chile x Cobresal,03/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 7,12/07/2025,16:00,Universidad de Chile,Colo Colo,Universidad_de_Chile_vs_Colo_Colo_12/07/2025,Partida não Iniciada,,,,Universidad de Chile x Colo Colo,12/07/2025 16:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 15,21/06/2025,16:00,Universidad de Chile,Deportes Iquique,Universidad_de_Chile_vs_Deportes_Iquique_21/06/2025,Partida não Iniciada,,,,Universidad de Chile x Deportes Iquique,21/06/2025 16:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 21,24/08/2025,17:00,Universidad de Chile,Everton,Universidad_de_Chile_vs_Everton_24/08/2025,Partida não Iniciada,,,,Universidad de Chile x Everton,24/08/2025 17:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 13,31/05/2025,16:00,Universidad de Chile,O'Higgins,Universidad_de_Chile_vs_OHiggins_31/05/2025,Partida não Iniciada,ProximaRodada,,,Universidad de Chile x O'Higgins,31/05/2025 16:00:00,,,,,,,,,,,,,,,,,
Chile,Liga de Primera,2025,RODADA 24,19/10/2025,17:00,Universidad de Chile,Palestino,Universidad_de_Chile_vs_Palestino_19/10/2025,Partida não Iniciada,,,,Universidad de Chile x Palestino,19/10/2025 17:00:00,,,,,,,,,,,,,,,,,
