Campeonato,Confronto,Periodo,DataHora,Gols Mandante (média),Gols Sofridos Mandante (média),Gols Visitante (média),Gols Sofridos Visitante (média),Gols Esperados Mandante,Gols Esperados Visitante,Prob Vitória Mandante (%),Prob Empate (%),Prob Vitória Visitante (%),Prob Ambos Marcam (BTTS) (%),Prob +1.5 Gols (%),Prob +2.5 Gols (%),Prob +3.5 Gols (%)
Sul-Americana,Grêmio (Bra) x Godoy Cruz (Arg),Últimos 15 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Nacional Potosí (Bol) x Boston River (Uru),Últimos 15 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Union Santa Fe (Arg) x Mushuc Runa (Ecu),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Puerto Cabello (Ven) x Melgar (Per),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Lanús (Arg) x Vasco (Bra),Últimos 15 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Super Lig,Kayserispor x Antalyaspor,Últimos 15 dias,2025-05-12 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Superliga,Vejle x Lyngby,Últimos 15 dias,2025-05-12 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UEFA,PSG x Inter,Últimos 15 dias,2025-05-31 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Magdeburg x Dusseldorf,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Ulm x Munster,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Furth x Hamburger SV,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Hertha x Hannover,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Karlsruher x Paderborn,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Braunschweig x Nurnberg,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Schalke x Elversberg,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Darmstadt x Regensburg,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Köln x Kaiserslautern,Últimos 30 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allsvenskan,Göteborg x Djurgarden,Últimos 30 dias,2025-05-12 14:10:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão A,Santos x Ceará,Últimos 30 dias,2025-05-12 20:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Botafogo-SP x Athletic Club,Últimos 30 dias,2025-05-12 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Amazonas x CRB,Últimos 30 dias,2025-05-12 21:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
